id,type,name,description,hours,location,latitude,longitude,link,cost_per_hour,image
1,Culture,Bait alsadu,"It is center for Bedouin art and handicraft. Bedouin women can be seen working at their looms weaving carpets, bags and tent screens, which along with other handicrafts are available at very reasonable prices. Special exhibitions are often held with accompanying seminars on traditional Bedouin life. ",2,"Close to the National Museum, Arabian Street, Qibla. ",29.3746711,47.9669833,www.alsadu.org.kw/ ,5,
2,Culture,Grand mosque," Although there are more that 800 mosques in Kuwait, the Grand mosque is by far the most impressive and is a distinguished landmark in Kuwait. Not all mosques in Kuwait will allow tourist in, so this is a good opportunity to experience the Muslim religion. Guided tours lasting an hour can be arranged by calling in advance (tours are for two or more people), the tours are guided by an experienced guide that will tell you about the history of Islam and the mosque. Tours are in English and are open for males and females. Ladies will be asked to wear a scarf to cover their head (Hijab). If you have forgotten yours the mosque will provide you with one. When entering the mosque you need to remove your shoes and they will be safely placed outside in a shoe rack. This is definitely worth a visit if you have never been inside a mosque before. ",2,"Arabian Gulf street, Central Kuwait. Opposite to the Ministry of Foreign Affairs.",29.3795116,47.9752315,www.freekuwait.com/mosque ,5,
3,Culture,Tariq rajab museum,"Description: Tareq Rajab was the first Minister of Agriculture and he opened his extensive collection of Islamic arts and crafts to the general public in 1980. The collection includes a large collection of ethnic and Islamic jewellery, costumes, ceramics and metalworks. Tapestries and manuscripts along with some very interesting musical instruments. All displayed articles are of Arab or Muslim origin. ",2,"Near English School, Jabriya (Block12, Street5, house#16). ",29.3149567,48.0473104,www.trmkt.com ,5,
4,Culture,Al Hashemi Marine Museum: ,"Description: At nearly 85 m and 18.7 m (61ft) wide, and weighing an estimated 2,500 tonnes, the AlHashemi II is recognized as the biggest wooden dhow in the world, earning its place at the Guinness record. The dhow is set in concrete and with a car park underneath, inside it holds a large and impressive banquet hall which can be used as a venue for weddings and conferences, state dinners and other major corporate events. This dhow was constructed in 3 years. Today it represents a testament to the pearl diving and dhow building era. ",2,"Behind Rdisson SAS Hotel, Salwa.",29.3014259,48.0869973,http://www.radissonblu.com/hotel-kuwait/services/marine ,5,
5,Culture,Alqahwa alshaabeya,,2,,,,,,
6,Nature,Aljahra reserve,"Descriptio:A fenced nature reserve, consisting of a storm-water outfall with reed-beds and a pool surrounded by sabkha (seasonally-flooded saltmarsh), between Jahra town and Jahra Bay. Access requires a permit from the Environment Public Authority.Basra Reed Warbler and other reed-bed warblers probably breed annually. Red-wattled Lapwing has been seen several times. A long list of rare species has included African Darter, Macqueen's Bustard, Pacific Golden Plover, Citrine Wagtail, Black-throated Accentor, Common Babbler, Long-tailed Shrike and Dead Sea Sparrow.",8,Jahra district,,,http://focusingonwildlife.com/news/jahra-pools-reserve-kuwait/,5,
7,Nature,Sabah reserve,"Description: A large nature reserve, named after the present Emir of Kuwait, to the north of Jahra town, on both sides of the Subiya Road. Access is by permit only. Dunn's Lark breeds annually, and Egyptian Nightjar can be seen in all months near coastal scrub. Pharaoh Eagle Owl has bred.Regular or fairly regular migrant and wintering species include Shikra, Caspian Plover, Red-wattled Lapwing, Namaqua Dove, Oriental Skylark, Grey Hypocolius and Chestnut-shouldered Petronia. Lappet-faced Vulture, Hume's Wheatear, Black Scrub Robin and Red-headed Bunting have been seen.",8,North Jahra,29.5511975,47.8026448,,10,
8,Nature,Sulaibikhat Bay,"Description: A shallow bay with mudflats extending from Shuwaikh Port to Doha Peninsula. Open access is via dirt road and from carparks off Abu Dhabi Street.Crab Plover is commonly seen from autumn to spring, while Pacific Golden Plover and Caspian Plover are annual. White-throated Kingfisher has bred. Red-wattled Lapwing has been seen.Rarities have included Sacred Ibis and Lesser Flamingo.",8,Sulaibikhat Bayæ(North part of Kuwait Bay),29.3260483,47.8798576,,10,
9,Nature,Qarou Island,"Description: is an island belonging to the state of Kuwait, which received its name from the large amounts of petroleum sediments in the area (known as Qar in Arabic). It is the smallest of the nine islands, and also the furthest island from the Kuwaiti mainland. It is located 37.5 kilometers away from the mainland, and 17 kilometers away from Umm al Maradim. The island is roughly 275 meters long by 175 meters at its widest (area about 3.5 ha. The island was also the first part of Kuwaiti soil that was liberated from Iraq during the Gulf War on January 21, 1991.",8,South of Kuwait,28.8150392,48.2228733,https://www.youtube.com/watch?v=U4itNBJc5ZY,10,
10,Nature,Jahra Farms,"Description: A group of traditional farms in the centre of Jahra town. Access to some is open but to others requires permission.Bank Myna breeds annually. Other breeding species have included White-throated Kingfisher and Red-vented Bulbul.Migrant and wintering species are usually fairly plentiful. Shikra, Namaqua Dove, Egyptian Nightjar, Olive-backed Pipit, Citrine Wagtail, Grey Hypocolius, Dark-throated Thrush and Sykes's Warbler have been recorded at least several times each, and Hume's Leaf Warbler, Dusky Warbler and Ashy Drongo once each.",8,Jahra district,29.3438593,47.6834925,,10,
